name,oscar_total,gg_total,cc_total,awards_total
Emily Alyn Lind,0.0,0.0,0.0,0.0
Taylor Hill,0.0,0.0,0.0,0.0
Kathleen Quinlan,1.0,3.0,0.0,4.0
Lauren Hodges,0.0,0.0,0.0,0.0
Anthony Ruivivar,0.0,0.0,0.0,0.0
Celia Weston,0.0,0.0,0.0,0.0
Ethan Phillips,0.0,0.0,0.0,0.0
Blake Clark,0.0,0.0,0.0,0.0
Glynn Turman,0.0,0.0,0.0,0.0
Jill Hennessy,0.0,0.0,0.0,0.0
Noah Baumbach,0.0,0.0,0.0,0.0
Priyanka Chopra Jonas,0.0,0.0,0.0,0.0
Haley Joel Osment,1.0,1.0,0.0,2.0
Alan Ruck,0.0,0.0,0.0,0.0
Meryl Streep,27.0,53.0,10.0,90.0
Sarah Snook,0.0,0.0,0.0,0.0
Sofia Vassilieva,0.0,0.0,0.0,0.0
Will Forte,0.0,0.0,0.0,0.0
Chris Bauer,0.0,0.0,0.0,0.0
Charlotte Gainsbourg,0.0,0.0,0.0,0.0
Nicholas Braun,0.0,0.0,0.0,0.0
Mare Winningham,1.0,0.0,0.0,1.0
Eli Roth,0.0,0.0,0.0,0.0
Mike Epps,0.0,0.0,0.0,0.0
Jack O'Connell,0.0,0.0,0.0,0.0
Elya Baskin,0.0,0.0,0.0,0.0
Cloris Leachman,3.0,5.0,0.0,8.0
Cliff Curtis,0.0,0.0,0.0,0.0
Ellen Barkin,0.0,2.0,0.0,2.0
Claudie Blakley,0.0,0.0,0.0,0.0
Paul Wesley,0.0,0.0,0.0,0.0
Nate Torrence,0.0,0.0,0.0,0.0
Corey Sevier,0.0,0.0,0.0,0.0
Alison Araya,0.0,0.0,0.0,0.0
Jason Lewis,0.0,0.0,0.0,0.0
Frances McDormand,12.0,10.0,8.0,30.0
Maggie Grace,0.0,0.0,0.0,0.0
Reese Witherspoon,4.0,8.0,4.0,16.0
Gene Simmons,0.0,0.0,0.0,0.0
Christoph Waltz,6.0,4.0,1.0,11.0
AnnaSophia Robb,0.0,0.0,0.0,0.0
Mike Starr,0.0,0.0,0.0,0.0
America Ferrera,0.0,0.0,1.0,1.0
Dominic Monaghan,0.0,0.0,0.0,0.0
Cheryl Hines,0.0,0.0,0.0,0.0
Molly Gordon,0.0,0.0,0.0,0.0
Vincent Martella,0.0,0.0,0.0,0.0
Sean Penn,9.0,9.0,6.0,24.0
Matthew Settle,0.0,0.0,0.0,0.0
Tom Welling,0.0,0.0,0.0,0.0
Shannon Elizabeth,0.0,0.0,0.0,0.0
Farrah Fawcett,0.0,2.0,0.0,2.0
Ben Affleck,0.0,2.0,3.0,5.0
Thomas Mitchell,4.0,0.0,0.0,4.0
Yara Shahidi,0.0,0.0,0.0,0.0
Michael Rooker,0.0,0.0,0.0,0.0
Sofía Vergara,0.0,0.0,0.0,0.0
Lynn Collins,0.0,0.0,0.0,0.0
Robin Williams,6.0,15.0,2.0,23.0
Doug Jones,0.0,0.0,0.0,0.0
Ray Galletti,0.0,0.0,0.0,0.0
Jennifer Tilly,1.0,0.0,0.0,1.0
Ric Young,0.0,0.0,0.0,0.0
Ian McKellen,2.0,4.0,2.0,8.0
Craig T. Nelson,0.0,0.0,0.0,0.0
Zachary Levi,0.0,0.0,0.0,0.0
John Hurt,2.0,3.0,0.0,5.0
Ashley Tisdale,0.0,0.0,0.0,0.0
Tony Jaa,0.0,0.0,0.0,0.0
Nikki Reed,0.0,0.0,0.0,0.0
Eric Lloyd,0.0,0.0,0.0,0.0
Matthew Goode,0.0,0.0,0.0,0.0
Dennis Rodman,0.0,0.0,0.0,0.0
Jason Patric,0.0,0.0,0.0,0.0
Summer Glau,0.0,0.0,0.0,0.0
Mehcad Brooks,0.0,0.0,0.0,0.0
Eric Balfour,0.0,0.0,0.0,0.0
Adewale Akinnuoye-Agbaje,0.0,0.0,0.0,0.0
Nicholas Guest,0.0,0.0,0.0,0.0
Raini Rodriguez,0.0,0.0,0.0,0.0
Emmanuelle Seigner,0.0,0.0,0.0,0.0
Gérard Depardieu,1.0,2.0,0.0,3.0
Dougray Scott,0.0,0.0,0.0,0.0
Chris Rock,0.0,0.0,0.0,0.0
Nolan North,0.0,0.0,0.0,0.0
Yasmine Bleeth,0.0,0.0,0.0,0.0
John Billingsley,0.0,0.0,0.0,0.0
Eve,0.0,0.0,0.0,0.0
Scott Porter,0.0,0.0,0.0,0.0
Ernest Borgnine,3.0,2.0,0.0,5.0
Annette Badland,0.0,0.0,0.0,0.0
Erica Durance,0.0,0.0,0.0,0.0
Matthew Davis,0.0,0.0,0.0,0.0
Rashida Jones,0.0,0.0,0.0,0.0
Tate Donovan,0.0,0.0,0.0,0.0
Crispin Glover,0.0,0.0,0.0,0.0
Steven Strait,0.0,0.0,0.0,0.0
Charlotte Rampling,1.0,0.0,2.0,3.0
Tom Hulce,1.0,4.0,0.0,5.0
Britney Spears,0.0,0.0,0.0,0.0
Dick Van Dyke,0.0,2.0,0.0,2.0
Kristin Kreuk,0.0,0.0,0.0,0.0
Atticus Shaffer,0.0,0.0,0.0,0.0
Leven Rambin,0.0,0.0,0.0,0.0
Jane Asher,0.0,0.0,0.0,0.0
Vincent Gallo,0.0,0.0,0.0,0.0
Amy Brenneman,0.0,0.0,0.0,0.0
Olivia d'Abo,0.0,0.0,0.0,0.0
Erika Eleniak,0.0,0.0,0.0,0.0
Mariska Hargitay,0.0,0.0,0.0,0.0
Olivia Taylor Dudley,0.0,0.0,0.0,0.0
Ken Jeong,0.0,0.0,0.0,0.0
Richard Kiel,0.0,0.0,0.0,0.0
Jennie Silfverhjelm,0.0,0.0,0.0,0.0
William Ragsdale,0.0,0.0,0.0,0.0
Chelsea Handler,0.0,0.0,0.0,0.0
Evan Rachel Wood,0.0,2.0,0.0,2.0
Roxanne Hart,0.0,0.0,0.0,0.0
Priscilla Pointer,0.0,0.0,0.0,0.0
Alice Taglioni,0.0,0.0,0.0,0.0
Chris O'Donnell,0.0,1.0,0.0,1.0
Robert Guillaume,0.0,0.0,0.0,0.0
William H. Macy,1.0,1.0,0.0,2.0
Terence Maynard,0.0,0.0,0.0,0.0
Gemma Jones,0.0,0.0,0.0,0.0
Tracey Ullman,0.0,2.0,0.0,2.0
Tiera Skovbye,0.0,0.0,0.0,0.0
Shiri Appleby,0.0,0.0,0.0,0.0
Marianne Jean-Baptiste,1.0,1.0,0.0,2.0
Ali Wong,0.0,0.0,0.0,0.0
Mahershala Ali,6.0,4.0,2.0,12.0
Glenn Fleshler,0.0,0.0,0.0,0.0
John Lynch,0.0,0.0,0.0,0.0
Kevin Spacey,6.0,9.0,0.0,15.0
Eleanor Tomlinson,0.0,0.0,0.0,0.0
Bill Smitrovich,0.0,0.0,0.0,0.0
Branscombe Richmond,0.0,0.0,0.0,0.0
Jordan Ladd,0.0,0.0,0.0,0.0
Casper Van Dien,0.0,0.0,0.0,0.0
Leslie Easterbrook,0.0,0.0,0.0,0.0
Stephanie Faracy,0.0,0.0,0.0,0.0
Robin Weigert,0.0,0.0,0.0,0.0
Blythe Danner,0.0,0.0,0.0,0.0
Nestor Carbonell,0.0,0.0,0.0,0.0
Lambert Wilson,0.0,0.0,0.0,0.0
Meredith Scott Lynn,0.0,0.0,0.0,0.0
J.B. Smoove,0.0,0.0,0.0,0.0
Julie Dreyfus,0.0,0.0,0.0,0.0
Natalie Alyn Lind,0.0,0.0,0.0,0.0
Katie Leung,0.0,0.0,0.0,0.0
Logan Marshall-Green,0.0,0.0,0.0,0.0
Romy Rosemont,0.0,0.0,0.0,0.0
Jessica Lowndes,0.0,0.0,0.0,0.0
John Corbett,0.0,0.0,0.0,0.0
Rose McGowan,0.0,0.0,0.0,0.0
Kelli Garner,0.0,0.0,0.0,0.0
Andy Richter,0.0,0.0,0.0,0.0
Joe Manganiello,0.0,0.0,0.0,0.0
Rebel Wilson,0.0,0.0,0.0,0.0
Scott Grimes,0.0,0.0,0.0,0.0
Melanie Scrofano,0.0,0.0,0.0,0.0
Claudia Black,0.0,0.0,0.0,0.0
Joseph Sikora,0.0,0.0,0.0,0.0
Roger Bart,0.0,0.0,0.0,0.0
Ryan Stiles,0.0,0.0,0.0,0.0
Jay Harrington,0.0,0.0,0.0,0.0
Nelson Franklin,0.0,0.0,0.0,0.0
Jeananne Goossen,0.0,0.0,0.0,0.0
Catherine Dent,0.0,0.0,0.0,0.0
Fiona Dourif,0.0,0.0,0.0,0.0
David Duchovny,0.0,0.0,0.0,0.0
Haley Bennett,0.0,0.0,0.0,0.0
Callan McAuliffe,0.0,0.0,0.0,0.0
Dick Van Patten,0.0,0.0,0.0,0.0
Patrick Duffy,0.0,0.0,0.0,0.0
Peter Facinelli,0.0,0.0,0.0,0.0
Jodhi May,0.0,0.0,0.0,0.0
Sarah Paulson,0.0,0.0,0.0,0.0
Leslie Jordan,0.0,0.0,0.0,0.0
Jamie Chung,0.0,0.0,0.0,0.0
William Zabka,0.0,0.0,0.0,0.0
Jay Hernandez,0.0,0.0,0.0,0.0
Lesley Ann Warren,1.0,2.0,0.0,3.0
Marci T. House,0.0,0.0,0.0,0.0
Guillermo del Toro,0.0,0.0,0.0,0.0
Kengo Kawanishi,0.0,0.0,0.0,0.0
Sacha Baron Cohen,1.0,5.0,1.0,7.0
David Morse,0.0,0.0,0.0,0.0
Hudson Leick,0.0,0.0,0.0,0.0
Sharon Horgan,0.0,0.0,0.0,0.0
Alex Borstein,0.0,0.0,0.0,0.0
Ed Helms,0.0,0.0,0.0,0.0
Monica Raymund,0.0,0.0,0.0,0.0
Harry Melling,0.0,0.0,0.0,0.0
Jodi Benson,0.0,0.0,0.0,0.0
Kimberly Williams-Paisley,0.0,0.0,0.0,0.0
Spencer Locke,0.0,0.0,0.0,0.0
John Schneider,0.0,0.0,0.0,0.0
Mae Whitman,0.0,0.0,0.0,0.0
Cynthia Addai-Robinson,0.0,0.0,0.0,0.0
Fares Fares,0.0,0.0,0.0,0.0
Steve Coogan,0.0,0.0,0.0,0.0
Jordana Spiro,0.0,0.0,0.0,0.0
Sam Page,0.0,0.0,0.0,0.0
Michael Winslow,0.0,0.0,0.0,0.0
Alan Rosenberg,0.0,0.0,0.0,0.0
Theo Rossi,0.0,0.0,0.0,0.0
Phill Lewis,0.0,0.0,0.0,0.0
Toby Stephens,0.0,0.0,0.0,0.0
Abbie Cornish,0.0,0.0,0.0,0.0
Bill Duke,0.0,0.0,0.0,0.0
Whitney Cummings,0.0,0.0,0.0,0.0
Corey Reynolds,0.0,0.0,0.0,0.0
Omari Hardwick,0.0,0.0,0.0,0.0
Peter Strauss,0.0,0.0,0.0,0.0
Greg Bryk,0.0,0.0,0.0,0.0
Edie McClurg,0.0,0.0,0.0,0.0
Jennie Jacques,0.0,0.0,0.0,0.0
Peter Giles,0.0,0.0,0.0,0.0
Charles Mesure,0.0,0.0,0.0,0.0
Michael Jibson,0.0,0.0,0.0,0.0
Jed Rees,0.0,0.0,0.0,0.0
Julia Campbell,0.0,0.0,0.0,0.0
Oliver Cooper,0.0,0.0,0.0,0.0
Monica Potter,0.0,0.0,0.0,0.0
François Civil,0.0,0.0,0.0,0.0
Gavin Rossdale,0.0,0.0,0.0,0.0
Jonathan Rhys Meyers,0.0,0.0,0.0,0.0
Debra Messing,0.0,0.0,0.0,0.0
Alfie Allen,0.0,0.0,0.0,0.0
Carol Kane,1.0,0.0,0.0,1.0
Ned Dennehy,0.0,0.0,0.0,0.0
Rico Rodriguez,0.0,0.0,0.0,0.0
Chris O'Dowd,0.0,0.0,0.0,0.0
Fred Savage,0.0,0.0,0.0,0.0
Alexa PenaVega,0.0,0.0,0.0,0.0
Annie Parisse,0.0,0.0,0.0,0.0
Tony Denison,0.0,0.0,0.0,0.0
Ellen Burstyn,8.0,11.0,1.0,20.0
Karine Vanasse,0.0,0.0,0.0,0.0
Brad Dourif,1.0,0.0,0.0,1.0
Anne Dudek,0.0,0.0,0.0,0.0
Fiona Gubelmann,0.0,0.0,0.0,0.0
Laura San Giacomo,0.0,1.0,0.0,1.0
Azura Skye,0.0,0.0,0.0,0.0
Cara Buono,0.0,0.0,0.0,0.0
Kaitlin Olson,0.0,0.0,0.0,0.0
Daniel Henney,0.0,0.0,0.0,0.0
Elsie Fisher,0.0,2.0,0.0,2.0
Paula Newsome,0.0,0.0,0.0,0.0
Peter Wingfield,0.0,0.0,0.0,0.0
Bruce McGill,0.0,0.0,0.0,0.0
Graham Phillips,0.0,0.0,0.0,0.0
Jun Ji-hyun,0.0,0.0,0.0,0.0
Cameron Monaghan,0.0,0.0,0.0,0.0
Dana Carvey,0.0,0.0,0.0,0.0
Giancarlo Giannini,1.0,0.0,0.0,1.0
Michael C. Hall,0.0,0.0,0.0,0.0
Richard T. Jones,0.0,0.0,0.0,0.0
Justin Theroux,0.0,0.0,0.0,0.0
Jerry O'Connell,0.0,0.0,0.0,0.0
Dustin Hoffman,11.0,22.0,0.0,33.0
Sophia Loren,4.0,5.0,0.0,9.0
Frankie Muniz,0.0,0.0,0.0,0.0
Julia Jones,0.0,0.0,0.0,0.0
Janet Montgomery,0.0,0.0,0.0,0.0
Michelle Fairley,0.0,0.0,0.0,0.0
Michael Michele,0.0,0.0,0.0,0.0
Betty Buckley,0.0,0.0,0.0,0.0
Haylie Duff,0.0,0.0,0.0,0.0
Peter Capaldi,0.0,0.0,0.0,0.0
Mike Vogel,0.0,0.0,0.0,0.0
Gavin Casalegno,0.0,0.0,0.0,0.0
Mitchel Musso,0.0,0.0,0.0,0.0
Sadie Sandler,0.0,0.0,0.0,0.0
Stana Katic,0.0,0.0,0.0,0.0
Peter Jacobson,0.0,0.0,0.0,0.0
Elisabeth Röhm,0.0,0.0,0.0,0.0
Charles Malik Whitfield,0.0,0.0,0.0,0.0
William Devane,0.0,0.0,0.0,0.0
Paul Hogan,0.0,2.0,0.0,2.0
Pete Docter,0.0,0.0,0.0,0.0
Jared Harris,0.0,0.0,0.0,0.0
Jean St. James,0.0,0.0,0.0,0.0
Zosia Mamet,0.0,0.0,0.0,0.0
Amber Marshall,0.0,0.0,0.0,0.0
Angie Harmon,0.0,0.0,0.0,0.0
Martin Short,0.0,0.0,0.0,0.0
Noah Emmerich,0.0,0.0,0.0,0.0
John Francis Daley,0.0,0.0,0.0,0.0
Jake Hoffman,0.0,0.0,0.0,0.0
Shannon Whirry,0.0,0.0,0.0,0.0
Todd Barry,0.0,0.0,0.0,0.0
Simon Baker,0.0,0.0,0.0,0.0
Annaleigh Ashford,0.0,0.0,0.0,0.0
Amelia Warner,0.0,0.0,0.0,0.0
Meredith Salenger,0.0,0.0,0.0,0.0
Scott Adkins,0.0,0.0,0.0,0.0
Jonny Lee Miller,0.0,0.0,0.0,0.0
Roy Scheider,2.0,2.0,0.0,4.0
Nathalie Kelley,0.0,0.0,0.0,0.0
Kelly Brook,0.0,0.0,0.0,0.0
Liam Cunningham,0.0,0.0,0.0,0.0
Teryl Rothery,0.0,0.0,0.0,0.0
MyAnna Buring,0.0,0.0,0.0,0.0
Junko Takeuchi,0.0,0.0,0.0,0.0
Jaclyn Smith,0.0,0.0,0.0,0.0
Amanda Wyss,0.0,0.0,0.0,0.0
Alex Pettyfer,0.0,0.0,0.0,0.0
Josh Keaton,0.0,0.0,0.0,0.0
Lauren K. Robek,0.0,0.0,0.0,0.0
Jeff Bennett,0.0,0.0,0.0,0.0
Anna Nicole Smith,0.0,0.0,0.0,0.0
Tim Robbins,3.0,5.0,1.0,9.0
Dave Sheridan,0.0,0.0,0.0,0.0
Christopher Mintz-Plasse,0.0,0.0,0.0,0.0
Zachary Gordon,0.0,0.0,0.0,0.0
Bobby Moynihan,0.0,0.0,0.0,0.0
Judy Reyes,0.0,0.0,0.0,0.0
Sarah Butler,0.0,0.0,0.0,0.0
Nick Swardson,0.0,0.0,0.0,0.0
Tom Atkins,0.0,0.0,0.0,0.0
Ludivine Sagnier,0.0,0.0,0.0,0.0
Norm Macdonald,0.0,0.0,0.0,0.0
Ronny Cox,0.0,0.0,0.0,0.0
Virginie Ledoyen,0.0,0.0,0.0,0.0
Randy Quaid,1.0,1.0,0.0,2.0
Erick Avari,0.0,0.0,0.0,0.0
Lisa Ann Walter,0.0,0.0,0.0,0.0
Karoline Herfurth,0.0,0.0,0.0,0.0
Britt Irvin,0.0,0.0,0.0,0.0
Chi McBride,0.0,0.0,0.0,0.0
Sammo Hung,0.0,0.0,0.0,0.0
Geraldine Somerville,0.0,0.0,0.0,0.0
Sting,0.0,0.0,0.0,0.0
Skandar Keynes,0.0,0.0,0.0,0.0
Eli Wallach,0.0,1.0,0.0,1.0
William Sanderson,0.0,0.0,0.0,0.0
Morgan Spurlock,0.0,0.0,0.0,0.0
Roberto Benigni,3.0,0.0,0.0,3.0
Dee Bradley Baker,0.0,0.0,0.0,0.0
Eddie Steeples,0.0,0.0,0.0,0.0
Catherine Reitman,0.0,0.0,0.0,0.0
Karen Allen,0.0,0.0,0.0,0.0
Alaina Huffman,0.0,0.0,0.0,0.0
Michael Weatherly,0.0,0.0,0.0,0.0
Chris Penn,0.0,0.0,0.0,0.0
Lisa Roberts Gillan,0.0,0.0,0.0,0.0
Jay Underwood,0.0,0.0,0.0,0.0
Laura Dern,5.0,3.0,1.0,9.0
Ko Shibasaki,0.0,0.0,0.0,0.0
Rebecca Mader,0.0,0.0,0.0,0.0
Kiernan Shipka,0.0,0.0,0.0,0.0
Talia Shire,2.0,2.0,0.0,4.0
John Slattery,0.0,0.0,0.0,0.0
Craig Sheffer,0.0,0.0,0.0,0.0
Armand Assante,0.0,1.0,0.0,1.0
Derek Cecil,0.0,0.0,0.0,0.0
Aisha Tyler,0.0,0.0,0.0,0.0
Anjelica Huston,5.0,8.0,0.0,13.0
Joely Richardson,0.0,0.0,0.0,0.0
Richard Burgi,0.0,0.0,0.0,0.0
Toby Leonard Moore,0.0,0.0,0.0,0.0
Frank Oz,0.0,0.0,0.0,0.0
Ryunosuke Kamiki,0.0,0.0,0.0,0.0
Jessica Szohr,0.0,0.0,0.0,0.0
Elliot Page,1.0,2.0,2.0,5.0
Katherine Moennig,0.0,0.0,0.0,0.0
Julian McMahon,0.0,0.0,0.0,0.0
Melissa Roxburgh,0.0,0.0,0.0,0.0
Robbie Amell,0.0,0.0,0.0,0.0
Tamannaah Bhatia,0.0,0.0,0.0,0.0
Billy Crystal,0.0,6.0,0.0,6.0
Amanda Warren,0.0,0.0,0.0,0.0
Tom Cavanagh,0.0,0.0,0.0,0.0
Missi Pyle,0.0,0.0,0.0,0.0
Kristin Davis,0.0,0.0,0.0,0.0
Will Arnett,0.0,0.0,0.0,0.0
Charlene Tilton,0.0,0.0,0.0,0.0
Jacqueline Pinol,0.0,0.0,0.0,0.0
John Heard,0.0,0.0,0.0,0.0
Penelope Ann Miller,0.0,1.0,0.0,1.0
Enrico Colantoni,0.0,0.0,0.0,0.0
Madison Pettis,0.0,0.0,0.0,0.0
Patrick Muldoon,0.0,0.0,0.0,0.0
Salma Hayek Pinault,0.0,0.0,0.0,0.0
Jane Seymour,0.0,0.0,0.0,0.0
Cuba Gooding Jr.,3.0,1.0,1.0,5.0
David Warner,0.0,0.0,0.0,0.0
David S. Lee,0.0,0.0,0.0,0.0
Billy Wirth,0.0,0.0,0.0,0.0
Nikki DeLoach,0.0,0.0,0.0,0.0
Seth Rogen,0.0,0.0,0.0,0.0
James Gammon,0.0,0.0,0.0,0.0
Joey McIntyre,0.0,0.0,0.0,0.0
John Boyega,0.0,0.0,0.0,0.0
Terrence 'T.C.' Carson,0.0,0.0,0.0,0.0
Natasha Little,0.0,0.0,0.0,0.0
Ian Anthony Dale,0.0,0.0,0.0,0.0
James Pickens Jr.,0.0,0.0,0.0,0.0
Pink,0.0,0.0,0.0,0.0
Natassia Malthe,0.0,0.0,0.0,0.0
Edgar Wright,0.0,0.0,0.0,0.0
Ice Cube,0.0,0.0,0.0,0.0
Chiara Zanni,0.0,0.0,0.0,0.0
Mr. Lawrence,0.0,0.0,0.0,0.0
Ashley Walters,0.0,0.0,0.0,0.0
John Novak,0.0,0.0,0.0,0.0
Sarah Parish,0.0,0.0,0.0,0.0
Trevor Donovan,0.0,0.0,0.0,0.0
Alexandra Roach,0.0,0.0,0.0,0.0
Robert Forster,1.0,0.0,0.0,1.0
Shawn Wayans,0.0,0.0,0.0,0.0
Alyssa Sutherland,0.0,0.0,0.0,0.0
Callie Thorne,0.0,0.0,0.0,0.0
Dwight Schultz,0.0,0.0,0.0,0.0
Charles Parnell,0.0,0.0,0.0,0.0
Daphne Zuniga,0.0,0.0,0.0,0.0
Heidi Klum,0.0,0.0,0.0,0.0
Gaius Charles,0.0,0.0,0.0,0.0
Peta Wilson,0.0,0.0,0.0,0.0
Jimmy Smits,0.0,0.0,0.0,0.0
Brooke D'Orsay,0.0,0.0,0.0,0.0
Marcia Gay Harden,4.0,0.0,1.0,5.0
Paul Freeman,0.0,0.0,0.0,0.0
David Zayas,0.0,0.0,0.0,0.0
Emily Beecham,0.0,0.0,0.0,0.0
Elizabeth Berkley,0.0,0.0,0.0,0.0
Jeffrey Garcia,0.0,0.0,0.0,0.0
Brian Howe,0.0,0.0,0.0,0.0
Brandon Johnson,0.0,0.0,0.0,0.0
Jamie McShane,0.0,0.0,0.0,0.0
Samantha Mathis,0.0,0.0,0.0,0.0
Kyle Gallner,0.0,0.0,0.0,0.0
Kim Richards,0.0,0.0,0.0,0.0
Jon Heder,0.0,0.0,0.0,0.0
Brandon Routh,0.0,0.0,0.0,0.0
Radha Mitchell,0.0,0.0,0.0,0.0
Jennifer Lopez,0.0,3.0,1.0,4.0
Deirdre Lovejoy,0.0,0.0,0.0,0.0
Seth Gilliam,0.0,0.0,0.0,0.0
Viola Davis,6.0,8.0,8.0,22.0
Billy Burke,0.0,0.0,0.0,0.0
Gabriel Macht,0.0,0.0,0.0,0.0
Jessica Raine,0.0,0.0,0.0,0.0
Adam Brody,0.0,0.0,0.0,0.0
Stuart Margolin,0.0,0.0,0.0,0.0
Thomas F. Wilson,0.0,0.0,0.0,0.0
Ronan Vibert,0.0,0.0,0.0,0.0
Toby Kebbell,0.0,0.0,0.0,0.0
Griffin Dunne,0.0,2.0,0.0,2.0
Penélope Cruz,6.0,4.0,3.0,13.0
Vinette Robinson,0.0,0.0,0.0,0.0
Nat Faxon,0.0,0.0,0.0,0.0
Nick Cannon,0.0,0.0,0.0,0.0
Dany Boon,0.0,0.0,0.0,0.0
Marta Milans,0.0,0.0,0.0,0.0
Edi Patterson,0.0,0.0,0.0,0.0
Sally Phillips,0.0,0.0,0.0,0.0
Dean Stockwell,1.0,2.0,0.0,3.0
Rebecca Hall,0.0,2.0,0.0,2.0
Amrish Puri,0.0,0.0,0.0,0.0
Katrina Bowden,0.0,0.0,0.0,0.0
Barry Corbin,0.0,0.0,0.0,0.0
Sophia Myles,0.0,0.0,0.0,0.0
Dylan Sprouse,0.0,0.0,0.0,0.0
Mikael Persbrandt,0.0,0.0,0.0,0.0
Robert Sean Leonard,0.0,0.0,0.0,0.0
Katia Winter,0.0,0.0,0.0,0.0
John Standing,0.0,0.0,0.0,0.0
Lauren Graham,0.0,0.0,0.0,0.0
Enver Gjokaj,0.0,0.0,0.0,0.0
William Baldwin,0.0,0.0,0.0,0.0
Julie Walters,2.0,3.0,0.0,5.0
Matthew Rauch,0.0,0.0,0.0,0.0
Eddie Cahill,0.0,0.0,0.0,0.0
Liam Hughes,0.0,0.0,0.0,0.0
Léa Seydoux,0.0,0.0,0.0,0.0
John Stamos,0.0,0.0,0.0,0.0
Justin Bieber,0.0,0.0,0.0,0.0
Ashley Grace,0.0,0.0,0.0,0.0
Rosemary Forsyth,0.0,0.0,0.0,0.0
Richard Schiff,0.0,0.0,0.0,0.0
Catherine Bell,0.0,0.0,0.0,0.0
Melissa Joan Hart,0.0,0.0,0.0,0.0
Kevin Conroy,0.0,0.0,0.0,0.0
Bree Turner,0.0,0.0,0.0,0.0
Jenny O'Hara,0.0,0.0,0.0,0.0
Kal Penn,0.0,0.0,0.0,0.0
Gabrielle Anwar,0.0,0.0,0.0,0.0
Iain Glen,0.0,0.0,0.0,0.0
Lynne Thigpen,0.0,0.0,0.0,0.0
Larry Miller,0.0,0.0,0.0,0.0
Lewis Black,0.0,0.0,0.0,0.0
Alex Kingston,0.0,0.0,0.0,0.0
Tichina Arnold,0.0,0.0,0.0,0.0
Daniel Bacon,0.0,0.0,0.0,0.0
Alex Cox,0.0,0.0,0.0,0.0
Robert Knepper,0.0,0.0,0.0,0.0
Shannon Wilcox,0.0,0.0,0.0,0.0
Charlie Tahan,0.0,0.0,0.0,0.0
Neil Dudgeon,0.0,0.0,0.0,0.0
Rupert Everett,0.0,3.0,0.0,3.0
Laura Prepon,0.0,0.0,0.0,0.0
Rachael Leigh Cook,0.0,0.0,0.0,0.0
Peter Greene,0.0,0.0,0.0,0.0
Rob Yang,0.0,0.0,0.0,0.0
Danielle Panabaker,0.0,0.0,0.0,0.0
Nicholas Lea,0.0,0.0,0.0,0.0
Crystal Reed,0.0,0.0,0.0,0.0
Joan Cusack,2.0,1.0,1.0,4.0
Emmanuelle Béart,0.0,0.0,0.0,0.0
Jane Leeves,0.0,0.0,0.0,0.0
Morgan Lily,0.0,0.0,0.0,0.0
Paul Adelstein,0.0,0.0,0.0,0.0
Andy Griffith,0.0,0.0,0.0,0.0
Helena Mattsson,0.0,0.0,0.0,0.0
Toshiyuki Morikawa,0.0,0.0,0.0,0.0
Edwige Fenech,0.0,0.0,0.0,0.0
Shirley MacLaine,7.0,28.0,0.0,35.0
Keith MacKechnie,0.0,0.0,0.0,0.0
Seth Meyers,0.0,0.0,0.0,0.0
Adam Pally,0.0,0.0,0.0,0.0
Jessica Hecht,0.0,0.0,0.0,0.0
Zena Grey,0.0,0.0,0.0,0.0
Burgess Meredith,2.0,1.0,0.0,3.0
Arnold Vosloo,0.0,0.0,0.0,0.0
Keegan-Michael Key,0.0,0.0,0.0,0.0
Lela Loren,0.0,0.0,0.0,0.0
Judy Garland,2.0,3.0,0.0,5.0
Andrew McCarthy,0.0,0.0,0.0,0.0
Bette Midler,2.0,10.0,0.0,12.0
Tom Wlaschiha,0.0,0.0,0.0,0.0
Michael Pitt,0.0,0.0,0.0,0.0
Hisao Egawa,0.0,0.0,0.0,0.0
Jacob Bertrand,0.0,0.0,0.0,0.0
John DeSantis,0.0,0.0,0.0,0.0
Justin Kirk,0.0,0.0,0.0,0.0
Tia Mowry,0.0,0.0,0.0,0.0
Adrian Schiller,0.0,0.0,0.0,0.0
Annabeth Gish,0.0,0.0,0.0,0.0
Odeya Rush,0.0,0.0,0.0,0.0
Dana Lee,0.0,0.0,0.0,0.0
Jim Parsons,0.0,0.0,0.0,0.0
Evan Jones,0.0,0.0,0.0,0.0
Caroline Goodall,0.0,0.0,0.0,0.0
Pablo Schreiber,0.0,0.0,0.0,0.0
Jimmy Fallon,0.0,0.0,0.0,0.0
Kelly McGillis,0.0,1.0,0.0,1.0
Bill Moseley,0.0,0.0,0.0,0.0
Adrian Holmes,0.0,0.0,0.0,0.0
Ryan Eggold,0.0,0.0,0.0,0.0
Jeff Kober,0.0,0.0,0.0,0.0
Scoot McNairy,0.0,0.0,0.0,0.0
Audrey Fleurot,0.0,0.0,0.0,0.0
Donny Osmond,0.0,0.0,0.0,0.0
Jake McDorman,0.0,0.0,0.0,0.0
Mika Boorem,0.0,0.0,0.0,0.0
Stan Lee,0.0,0.0,0.0,0.0
Simon Pegg,0.0,0.0,0.0,0.0
Emily Procter,0.0,0.0,0.0,0.0
Sally Kellerman,1.0,1.0,0.0,2.0
Sean Faris,0.0,0.0,0.0,0.0
Mark Consuelos,0.0,0.0,0.0,0.0
Jay Brazeau,0.0,0.0,0.0,0.0
Elisabeth Moss,0.0,0.0,0.0,0.0
